freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))","dB(S(7,7))","dB(S(8,7))","dB(S(9,9))","dB(S(10,9))","dB(S(11,11))","dB(S(12,11))"
5.64E+10,-10.95981632,-2.618274847,-39.08054322,-1.177542675,-24.39777942,-1.082278335,-17.65068165,-1.120459028,-15.93392645,-1.50843042,-12.12457284,-1.294535115
5.65E+10,-10.91255171,-2.525958304,-38.69322059,-1.209273798,-25.21663783,-1.085723361,-18.00524446,-1.12930306,-16.28637218,-1.510135313,-12.31463796,-1.283067911
5.66E+10,-10.47914574,-2.469989808,-37.63417401,-1.237377656,-26.09350302,-1.088795167,-18.36313592,-1.135706847,-16.65184947,-1.511896671,-12.50997731,-1.271141752
5.67E+10,-10.05234606,-2.36505137,-36.15459981,-1.260109566,-27.03576962,-1.091020186,-18.72677701,-1.138971953,-17.03130521,-1.513715473,-12.70948497,-1.258952919
5.68E+10,-9.483235073,-2.301947302,-34.53371775,-1.275818519,-28.05370039,-1.091984712,-19.09782875,-1.138620724,-17.42580589,-1.515592301,-12.91218332,-1.24668263
5.69E+10,-9.072658422,-2.188177285,-32.94566686,-1.282986549,-29.16153048,-1.091337805,-19.47766036,-1.134406367,-17.83655826,-1.517527198,-13.11722738,-1.234494037
5.70E+10,-8.885009653,-2.073561977,-31.46813946,-1.280287963,-30.37922886,-1.08879445,-19.86757454,-1.12631101,-18.2649347,-1.519519481,-13.32390476,-1.222531116
5.71E+10,-8.28197408,-1.943216696,-30.12526417,-1.266680478,-31.73545429,-1.084139624,-20.26893236,-1.114530846,-18.71250445,-1.521567503,-13.53163309,-1.210918649
5.72E+10,-8.14790714,-1.760682462,-28.91687838,-1.241544099,-33.27282542,-1.077234167,-20.68323456,-1.099449044,-19.1810727,-1.52366834,-13.73995616,-1.199762852
5.73E+10,-8.001578199,-1.597787298,-27.83315228,-1.204886821,-35.05806796,-1.068023732,-21.11218463,-1.081598643,-19.67272969,-1.525817379,-13.94853942,-1.189152432
5.74E+10,-8.360505277,-1.534731847,-26.86113107,-1.157635971,-37.20365741,-1.056552759,-21.5577468,-1.06161894,-20.18991344,-1.528007785,-14.15716574,-1.179159966
5.75E+10,-8.820139642,-1.354889738,-25.98751019,-1.102023859,-39.92110442,-1.042986329,-22.02220673,-1.040209515,-20.73549058,-1.530229805,-14.36573132,-1.16984355
5.76E+10,-9.521033242,-1.243748746,-25.19974722,-1.042044751,-43.68399551,-1.027644295,-22.50824105,-1.018086098,-21.31286215,-1.532469838,-14.57424242,-1.161248716
5.77E+10,-10.30801815,-1.068501751,-24.48645232,-0.983890857,-49.9497032,-1.011054228,-23.01900164,-0.995941754,-21.92610424,-1.534709226,-14.78281264,-1.153410694
5.78E+10,-11.3099058,-1.012380464,-23.83746908,-0.936157185,-60.78959965,-0.994032485,-23.55822181,-0.974415833,-22.58015801,-1.536922628,-14.99166096,-1.146357083
5.79E+10,-13.01811176,-0.914442818,-23.24382554,-0.909463589,-49.08331146,-0.977805338,-24.13035365,-0.954071827,-23.28109169,-1.539075877,-15.20111053,-1.140111115
5.80E+10,-14.31192939,-0.790615222,-22.69763439,-0.915086444,-43.73510992,-0.964181179,-24.74075003,-0.93538409,-24.03647,-1.541123098,-15.41158822,-1.134695793
