W_50 [mm],Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []",im(Gamma(1)) [],re(Gamma(1)) [],re(Zo(1)) [],"ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
0.55,57.15,-15.72425963,-6.048225141,1938.131212,5.29484138,143.3927468,-155.9627369,44.4101371
0.55,57.2,-15.66615485,-6.108237868,1940.415218,5.297923211,143.3623554,-159.4024472,42.88247055
0.55,57.25,-15.62033577,-6.164292694,1942.698555,5.301007919,143.332119,-162.8750365,41.37233294
0.55,57.3,-15.5872066,-6.2165522,1944.981224,5.304095492,143.3020367,-166.3706293,39.87794289
0.55,57.35,-15.56699431,-6.26517474,1947.263229,5.307185917,143.2721078,-169.8788125,38.39761584
0.55,57.4,-15.55973549,-6.310314773,1949.544571,5.31027918,143.2423316,-173.3888413,36.92975479
0.55,57.45,-15.56527023,-6.352123245,1951.825253,5.31337527,143.2127073,-176.8898617,35.47284211
0.55,57.5,-15.58324323,-6.390747996,1954.105277,5.316474173,143.1832344,179.6288633,34.0254322
0.55,57.55,-15.61311212,-6.426334213,1956.384645,5.319575876,143.153912,176.1777368,32.58614506
0.55,57.6,-15.6541622,-6.459024898,1958.663361,5.322680368,143.1247394,172.7666316,31.15366058
0.55,57.65,-15.70552645,-6.48896136,1960.941426,5.325787636,143.095716,169.4047245,29.72671354
0.55,57.7,-15.76620918,-6.516283725,1963.218842,5.328897668,143.066841,166.1003676,28.30408932
0.55,57.75,-15.83511178,-6.541131472,1965.495612,5.33201045,143.0381139,162.8610002,26.88462013
0.55,57.8,-15.91105869,-6.563643973,1967.771738,5.335125972,143.0095338,159.6931005,25.46718196
0.55,57.85,-15.99282243,-6.583961058,1970.047223,5.338244221,142.9811,156.6021749,24.05069197
0.55,57.9,-16.07914605,-6.602223587,1972.322068,5.341365185,142.9528121,153.5927789,22.63410658
0.55,57.95,-16.16876257,-6.618574045,1974.596276,5.344488852,142.9246691,150.6685635,21.21642001
0.55,58,-16.26041055,-6.633157141,1976.869849,5.347615209,142.8966706,147.8323394,19.79666344
0.55,58.05,-16.35284568,-6.646120426,1979.14279,5.350744246,142.8688158,145.0861528,18.37390481
0.55,58.1,-16.44484847,-6.657614919,1981.4151,5.353875951,142.841104,142.4313642,16.94724909
