"W_50 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []","ang_deg(Y(1,1)) [deg]","ang_deg(Y(2,1)) [deg]"
0.65,59.1,-9.86257235199499,-1.56329370283113,2045.24493631099,4.8087180441512,14.0702403072033,79.4660796471584,-96.8783271733598
0.65,59.15,-10.0246020276366,-1.54284927812616,2047.15833672073,4.81280755088993,14.0719697598479,79.2950551129709,-97.2519996975376
0.65,59.2,-10.1958508319404,-1.52241067735717,2049.07169210577,4.81689859789985,14.0737054727182,79.0924374692632,-97.6521042900639
0.65,59.25,-10.3767808124283,-1.50201840533177,2050.98500286979,4.82099118409148,14.0754474385983,78.8552292272491,-98.0821708293583
0.65,59.3,-10.5678964553581,-1.48171388658066,2052.89826941496,4.8250853083752,14.0771956503122,78.5798076597439,-98.5463237621053
0.65,59.35,-10.7697500468669,-1.46153948358713,2054.81149214197,4.82918096966127,14.0789501007237,78.261792724397,-99.0494163568679
0.65,59.4,-10.9829478586406,-1.44153852384702,2056.72467145003,4.83327816685979,14.0807107827358,77.8958773495261,-99.5972024458122
0.65,59.45,-11.208157306353,-1.42175533822956,2058.63780773684,4.8373768988807,14.0824776892907,77.4756076942132,-100.196558075065
0.65,59.5,-11.446115259469,-1.40223531362577,2060.55090139866,4.84147716463373,14.0842508133694,76.9930961559705,-100.855770318178
0.65,59.55,-11.697637718163,-1.38302496346965,2062.46395283026,4.84557896302836,14.0860301479915,76.4386429030479,-101.584917500171
0.65,59.6,-11.963631118538,-1.36417202040271,2064.37696242497,4.84968229297387,14.0878156862147,75.8002314716075,-102.396375314434
0.65,59.65,-12.2451055827768,-1.34572555611696,2066.28993057464,4.85378715337924,14.0896074211348,75.0628488151347,-103.305498467015
0.65,59.7,-12.5431904981875,-1.32773613423797,2068.20285766969,4.85789354315317,14.0914053458854,74.2075575195832,-104.331550157653
0.65,59.75,-12.8591528901944,-1.31025600295225,2070.11574409908,4.86200146120407,14.0932094536375,73.2102136561727,-105.4989859513
0.65,59.8,-13.1944191505758,-1.29333933485873,2072.02859025035,4.86611090644,14.0950197375991,72.039671722325,-106.839250620281
0.65,59.85,-13.5506007936403,-1.27704252208339,2073.94139650959,4.87022187776867,14.0968361910155,70.6552391038284,-108.393325561957
0.65,59.9,-13.9295250361719,-1.26142453478575,2075.85416326149,4.87433437409743,14.0986588071683,69.0030239500844,-110.215382947954
