freq,"dB(S(1,1))","dB(S(2,1))","dB(S(3,3))","dB(S(4,3))","dB(S(5,5))","dB(S(6,5))"
3.77000000000000046E10,-21.3520434938283,-0.749383009432705,-5.09109578912902,-3.86833529938441,-4.78050959020758,-4.17184108316171
3.77999999999999980E10,-22.0244998006386,-0.740526377017766,-5.08264389328456,-3.86761211245034,-4.74240170868825,-4.21037532876981
3.79000000000000004E10,-22.811479028723,-0.734043169963713,-5.0483597199298,-3.90816227252244,-4.68338476938534,-4.24205340232979
3.79999999999999982E10,-23.7176566195576,-0.728570851738703,-4.96447700039611,-3.95164232758598,-4.57614134837559,-4.23894116826723
3.81000000000000005E10,-24.7611518909417,-0.723733807256998,-4.94244478528748,-3.97187573361932,-4.4467587485937,-4.24424669517802
3.82000000000000028E10,-25.9721424132758,-0.719465297271061,-4.94879461092566,-3.99476712691062,-4.35213266730606,-4.22272143327007
3.82999999999999963E10,-27.3962684753785,-0.715787042812419,-4.90361804776217,-4.02386479878188,-4.25930629752696,-4.1833693745997
3.83999999999999986E10,-29.101209343158,-0.712741699903033,-4.84525269892497,-4.05379660799388,-4.13891579106963,-4.15149409280512
3.85000000000000009E10,-31.1831046580006,-0.710374186288752,-4.83029751452906,-4.06282046162192,-4.01061840049132,-4.08267068201918
3.86000000000000032E10,-33.7428799502599,-0.708728184884205,-4.74316514945872,-4.07114336050169,-3.9055885435457,-3.98641983611581
3.87000000000000011E10,-36.6171333799877,-0.707847174155924,-4.62697125466381,-4.0250719402351,-3.73535380730837,-3.90088994233497
3.87999999999999989E10,-38.1561674794005,-0.707776743668781,-4.61643659048658,-3.96110766284454,-3.65552970084484,-3.76530957084892
3.88999999999999968E10,-36.3524436330404,-0.708567334225649,-4.59903879956696,-3.90035422309085,-3.66005842609439,-3.61656028047075
3.89999999999999991E10,-33.3914266186335,-0.710277311209886,-4.63586035805323,-3.78454034176138,-3.70342067619501,-3.45766267934604
3.91000000000000014E10,-30.7795696649028,-0.712976537308522,-4.76758001303609,-3.65026230885155,-3.87289563317091,-3.31124792903763
3.92000000000000037E10,-28.6387390776224,-0.716750711915775,-4.95139212751854,-3.57910023951455,-4.05920895761723,-3.2220401780087
3.92999999999999972E10,-26.8643644830359,-0.72170679594482,-5.03201456488107,-3.56244848867456,-4.29422104778803,-3.2156572038783
3.93999999999999995E10,-25.3610276622542,-0.727979851380713,-4.95815550950509,-3.54576240450345,-4.57135048022906,-3.19103829146495
3.95000000000000018E10,-24.0613179983306,-0.735741532834113,-5.0312277657509,-3.49543110815241,-4.75969384336794,-3.10836828529536
3.95999999999999996E10,-22.9188382669854,-0.745210101279958,-5.09261424099434,-3.35096051446857,-4.94929486881033,-3.01176670056896
3.97000000000000020E10,-21.9012923244908,-0.75666078970166,-5.01907930318789,-3.26759431438618,-5.23220884328097,-2.89889546241598
3.97999999999999954E10,-20.9859360152294,-0.770432777036773,-5.09666787359169,-3.19276805947873,-5.45361312869061,-2.84385017236453
3.98999999999999977E10,-20.1568234711632,-0.786923216757009,-5.12239459257843,-3.06025236368276,-5.67538412066596,-2.74276003022463
4.00000000000000000E10,-19.4032290176558,-0.806546867426019,-5.28962276129225,-2.92785936907204,-5.99590973429571,-2.65851507385753
4.00999999999999979E10,-18.7188179241631,-0.829619071537566,-5.36107696621185,-2.8599480954292,-6.19534714384427,-2.5927906495921
4.02000000000000046E10,-18.1012089777361,-0.856095099394156,-5.59789292696399,-2.76969906763184,-6.48952950235072,-2.56929274970137
4.02999999999999936E10,-17.5514391995219,-0.885108100194057,-5.87746093457613,-2.63721984709647,-6.63537756087818,-2.54218501820376
4.04000000000000004E10,-17.0725036859296,-0.914401000227197,-6.09674779166526,-2.53921503591227,-6.73173816627429,-2.51927233787713
4.04999999999999982E10,-16.6659211827737,-0.940161940775756,-6.18407473665325,-2.45386435337059,-6.93012325866744,-2.52161754755002
4.06000000000000050E10,-16.3262281380659,-0.958123641652579,-6.47596002201567,-2.38415748632478,-6.97925078503857,-2.55637149256672
